SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
18057600 2010 7 29 0.4
18144000 2010 7 30 0.4
18230400 2010 7 31 0.4
18316800 2010 8 1 0.4
18403200 2010 8 2 0.4
18489600 2010 8 3 0.4
18576000 2010 8 4 0.4
18662400 2010 8 5 0.4
18748800 2010 8 6 0.4
18835200 2010 8 7 0.4
18921600 2010 8 8 0.4
19008000 2010 8 9 0.4
19094400 2010 8 10 0.4
19180800 2010 8 11 0.4
19267200 2010 8 12 0.4
19353600 2010 8 13 0.4
19440000 2010 8 14 0.4
19526400 2010 8 15 0.4
19612800 2010 8 16 0.4
19699200 2010 8 17 0.4
19785600 2010 8 18 0.4
19872000 2010 8 19 0.4
19958400 2010 8 20 0.4
20044800 2010 8 21 0.4
20131200 2010 8 22 0.4
20217600 2010 8 23 0.4
20304000 2010 8 24 0.4
20390400 2010 8 25 0.4
20476800 2010 8 26 0.4
20563200 2010 8 27 0.4
20649600 2010 8 28 0.4
20736000 2010 8 29 0.4
20822400 2010 8 30 0.4
20908800 2010 8 31 0.4
20995200 2010 9 1 0.4
21081600 2010 9 2 0.4
21168000 2010 9 3 0.4
21254400 2010 9 4 0.4
21340800 2010 9 5 0.4
21427200 2010 9 6 0.4
21513600 2010 9 7 0.4
21600000 2010 9 8 0.4
21686400 2010 9 9 0.4
21772800 2010 9 10 0.4
21859200 2010 9 11 0.4
21945600 2010 9 12 0.4
22032000 2010 9 13 0.4
22118400 2010 9 14 0.4
22204800 2010 9 15 0.4
22291200 2010 9 16 0.4
22377600 2010 9 17 0.4
22464000 2010 9 18 0.4
22550400 2010 9 19 0.4
22636800 2010 9 20 0.4
22723200 2010 9 21 0.4
22809600 2010 9 22 0.4
22896000 2010 9 23 0.4
22982400 2010 9 24 0.4
23068800 2010 9 25 0.4
23155200 2010 9 26 0.4
23241600 2010 9 27 0.4
23328000 2010 9 28 0.4
23414400 2010 9 29 0.4
23500800 2010 9 30 0.4
23587200 2010 10 1 0.4
23673600 2010 10 2 0.4
23760000 2010 10 3 0.4
23846400 2010 10 4 0.4
23932800 2010 10 5 0.4
24019200 2010 10 6 0.4
24105600 2010 10 7 0.4
24192000 2010 10 8 0.4
24278400 2010 10 9 0.4
24364800 2010 10 10 0.4
24451200 2010 10 11 0.4
24537600 2010 10 12 0.4
24624000 2010 10 13 0.4
24710400 2010 10 14 0.4
24796800 2010 10 15 0.4
24883200 2010 10 16 0.4
24969600 2010 10 17 0.4
25056000 2010 10 18 0.4
25142400 2010 10 19 0.4
25228800 2010 10 20 0.4
25315200 2010 10 21 0.4
25401600 2010 10 22 0.4
25488000 2010 10 23 0.4
25574400 2010 10 24 0.4
25660800 2010 10 25 0.4
25747200 2010 10 26 0.4
25833600 2010 10 27 0.4
25920000 2010 10 28 0.4
26006400 2010 10 29 0.4
26092800 2010 10 30 0.4
26179200 2010 10 31 0.4
26265600 2010 11 1 0.3
26352000 2010 11 2 0.3
26438400 2010 11 3 0.3
26524800 2010 11 4 0.3
26611200 2010 11 5 0.3
26697600 2010 11 6 0.3
26784000 2010 11 7 0.3
26870400 2010 11 8 0.3
26956800 2010 11 9 0.3
27043200 2010 11 10 0.3
